LICENSE,ID_MDARD,Name,ID_2008,STATUS_2008,ID_2013,STATUS_2013,ID_2015,STATUS_2015,ID_2017,STATUS_2017,ID_2019,STATUS_2019,STATUS_2021,STATUS_2022,STATUS_2023,Current Status,Cluster,Set,Type,Store,Zip2,Community Score,NMTC,WIC,SNAP,FFN Training,DUFB13,DUFB19,DUFB20,Greenlight,Green Grocer,GGP18,GGP21,District,DFM Type,Address,City,Zipcode,Phone,Manager,Phone 2020,Total_2013,Total_2015,Total_2017,FULL,Latitude,Longitude,AKA,Built,Sq Ft by 1000,GREAT SCOTT,KROGER,FARMER JACK,NOTES,WEBSITE
FRF088264,31145,FOOD PRIDE SUPERMARKET,,,04-1-01-002,OPEN,114285,OPEN,0102,OPEN,,,,,,OPEN,4,1,1,02,01,2,,1,1,,,,,1,1,,1,5,Grocery,500 E WARREN,DETROIT,48201,(313) 832-1151 ‎,,,,,,500 E WARREN DETROIT 48201,42.3586838,-83.0579497,,,22,,,,,
FRF094808,47394,GARDEN FRESH MARKETPLACE,,,,,,OPEN,1066,OPEN,,,,,,OPEN,,,,66,10,2,,1,1,,,,,1,1,,1,6,Grocery,6680 MICHIGAN AVE,DETROIT,48210,313-897-4406,,,,,,6680 MICHIGAN AVE DETROIT 48210,42.3314585,-83.1261714,La Guadalupana El Mercado,,18,,,,,
F​R​F​0​9​3​3​7​5,,GLORY SUPERMARKET,,,09-1-01-012,OPEN,171986,OPEN,3512,OPEN,,,,,,OPEN,9,1,1,12,35,1,,1,1,,,,,1,,,1,2,Grocery,8000 W OUTER DR,DETROIT,48235,(313) 397-9864,,,,,,8000 W OUTER DR DETROIT 48235,42.420362,-83.2177847,,,43,,,Yes,,
FRF112007,80566,HARBORTOWN FRESH MARKET LLC,,,04-1-01-030,OPEN,215491,OPEN,0730,OPEN,,,,,,OPEN,4,1,1,30,07,1,,1,1,,,,,,1,,1,5,Grocery,3472 E JEFFERSON AVE,DETROIT,48207,(313) 259-9400,,,,,,3472 E JEFFERSON AVE DETROIT 48207,42.3425294,-83.0108204,,,15,,,,,
FRF085623,5613,INDIAN VILLAGE MARKET LLC,,,03-1-01-038,OPEN,203148,OPEN,1438,OPEN,,,,FOR SALE,,OPEN,3,1,1,38,14,1,,1,1,,,,,,1,,1,5,Grocery,8415 E JEFFERSON AVE,DETROIT,48214,(313) 824-5100,,,,,,8415 E JEFFERSON AVE DETROIT 48214,42.3544766,-82.9912333,,,15,,,,,
FRF117540,90185,LANCES HOMETOWN MARKET,,,06-1-01-059,OPEN,161573,OPEN,0459,OPEN,,,,,,OPEN,6,1,1,59,04,2,,1,1,,,,,1,1,,1,7,Grocery,8656 WYOMING,DETROIT,48204,(313) 931-8608,,,,,,8656 WYOMING DETROIT 48204,42.3586832,-83.1571111,HOMETOWN MARKET/Modern Foods,,23,,,,,
FRF055965,5800,OLD REDFORD FOOD CENTER,FRF055965,OPEN,08-1-01-013,OPEN,171952,OPEN,1913,OPEN,,,,,,OPEN,8,1,1,13,19,2,,,1,,,1,,,1,1,1,1,Grocery,21673 GRAND RIVER,DETROIT,48219,(313) 533-6900,,,,,,21673 GRAND RIVER DETROIT 48219,42.4157477,-83.256815,New Redford Food Center,,12,,,,,
FRF011480,6264,SATURN SUPER FOODS,,,07-1-01-064,OPEN,118347,OPEN,2864,OPEN,,,,,,OPEN,7,1,1,64,28,0,,1,1,,,,,,,,1,7,Grocery,20221 JOY RD,DETROIT,48228,(313) 846-7555,,,,,,20221 JOY RD DETROIT 48228,42.3571677,-83.2389195,,,17,,,,,
FRF100252,,SAVE-A-LOT,MAK000001,OPEN,04-1-02-003,OPEN,161850,OPEN,0703,OPEN,,CLOSED COVID,OPEN,,,OPEN,4,1,2,03,07,0,,1,1,,,,,,,,1,5,Grocery,3681 GRATIOT AVE,DETROIT,48207,(313) 571-0700,,,,,,3681 GRATIOT AVE DETROIT 48207,42.363738,-83.0256637,,,12,,,,,
FRF024521,,SAVON FOODS,,,09-1-01-008,OPEN,114501,OPEN,3508,OPEN,,,,,,OPEN,9,1,1,08,35,0,,1,1,,,,,,,,1,3,Grocery,15025 W 7 MILE RD,DETROIT,48235,(313) 838-5577,,,,,,15025 W 7 MILE RD DETROIT 48235,42.4303474,-83.1942129,,,9,,,,,
F​R​F​0​8​6​7​7​6,,SAVON FOODS SUPERSTORE,,,10-1-01-007,OPEN,163969,OPEN,2107,OPEN,,,,,,OPEN,10,1,1,07,21,1,,1,1,,,,,1,,1,1,2,Grocery,18000 LIVERNOIS AVE,DETROIT,48221,(313) 862-8700,,,,,,18000 LIVERNOIS AVE DETROIT 48221,42.4230065,-83.1407026,,,20,,,,,
FRF092094,,SEAWAY MARKETPLACE,,,,,,OPEN,287,OPEN,,,,,,OPEN,,,,7,28,2,,1,1,,,1,,1,,,1,7,Grocery,18330 W Chicago St,DETROIT,48228,(313)-659-2999,,,,,,18330 W Chicago St  48228,42.3656935,-83.2196316,,,24,,,,,
F​R​F0​8​8​4​9​2,,APOLLO MARKET,,,08-1-01-015,OPEN,216382,OPEN,1915,OPEN,,,,,,OPEN,8,1,1,15,19,2,,,1,,,,,,1,1,,1,Grocery,20250 W 7 MILE RD,DETROIT,48219,(313) 538-0000,,,,,,20250 W 7 MILE RD DETROIT 48219,42.4304554,-83.2406858,,,37,,,,,
FRF112632,81368,KING COLE FOODS,,,04-1-01-022,OPEN,143928,OPEN,0222,OPEN,,,,,,OPEN,4,1,1,22,02,1,,1,1,,,,,,,1,,5,Grocery,40 CLAIRMOUNT ST,DETROIT,48202,(313) 872-0220,,,,,,40 CLAIRMOUNT ST DETROIT 48202,42.3828602,-83.082519,K COLE INC,,11,,,,Bought by Garden Fresh Marketplace owners in 2022,
FRF099583,54178,MIKES FRESH MARKET,,,10-1-01-004,OPEN,141019,OPEN,2104,OPEN,,,,,,OPEN,10,1,1,04,21,3,,1,1,,,,,1,1,1,,2,Grocery,19195 LIVERNOIS,DETROIT,48221,(313) 345-4711,Jamal Abro,,,,,19195 LIVERNOIS DETROIT 48221,42.433045,-83.1426415,,,33,,,Yes,,
FRF085898,6066,PUBLIC FOOD INC,,,03-1-01-049,OPEN,167645,OPEN,2449,OPEN,,,,FOR SALE,,OPEN,3,1,1,49,24,2,,1,1,,,,,1,,1,,4,Grocery,16226 E WARREN,DETROIT,48224,(313) 881-7555,,,,,,16226 E WARREN DETROIT 48224,42.4018785,-82.9402438,,,11,,,,,
FRF085100,,ALDI,,,02-1-02-007,OPEN,143961,OPEN,0507,OPEN,,,,,,OPEN,2,1,2,07,05,0,,,1,,,,,,,,,3,Grocery,15415 GRATIOT AVE,DETROIT,48205,(517) 521-3907,,314-552-6719,,,,15415 GRATIOT AVE DETROIT 48205,42.4487974,-82.9704007,,,13,,,,,
FRF093458,,ALDI,,,03-1-02-008,OPEN,143937,OPEN,1508,OPEN,,,,,,OPEN,3,1,2,08,15,1,,,1,,,,,1,,,,4,Grocery,14708 MACK AVE,DETROIT,48215,(313) 822-2457,,,,,,14708 MACK AVE DETROIT 48215,42.3861785,-82.9487329,,,12,,,,,
FRF024031,,AMERICANA FOOD STORE INC,,,07-1-01-062,OPEN,161803,OPEN,2762,OPEN,,,,,,OPEN,7,1,1,62,27,1,,1,1,,,1,,,,,,7,Grocery,15041 PLYMOUTH,DETROIT,48227,(313) 837-1999,,,,,,15041 PLYMOUTH DETROIT 48227,42.3724199,-83.1926896,,,12,,,,,
F​R​F0​1​1​5​5​1,,ATLAS MARKET,,,06-1-01-051,OPEN,208776,OPEN,3851,OPEN,,,,,,OPEN,6,1,1,51,38,1,,1,1,,,,,,1,,,2,Grocery,2645 W DAVISON,DETROIT,48238,(313) 868-0940,,,,,,2645 W DAVISON DETROIT 48238,42.3920966,-83.1229932,,,16,,,,,
F​R​F​1​0​1​2​8​2,,AZTECA SUPERMERCADO,,,05-1-01-032,OPEN,145077,OPEN,0932,OPEN,,,,,,OPEN,5,1,1,32,09,0,,1,1,,,,,,,,,6,Grocery,2411 CENTRAL,DETROIT,48209,(313) 843-0500,,,,,,2411 CENTRAL DETROIT 48209,42.3136102,-83.125498,,,22,,,,,
FRF118703,,BI-RITE SUPERMARKET,,,06-1-01-060,OPEN,200998,OPEN,3860,OPEN,,,,OPEN,,OPEN,6,1,1,60,38,0,,,1,,,,,,,,,7,Grocery,13230 LIVERNOIS AVE,DETROIT,48238,(313) 491-4120,,,,,,13230 LIVERNOIS AVE DETROIT 48238,42.3855675,-83.1391392,,,12,,,,"Former Livernois Foods was raided for selling stolen goods, bought by Bi-Rite in River Rouge. Reopened July 2021",
FRF011476,,E & L SUPERMERCADO,FRF011476,OPEN,05-1-01-052,OPEN,201064,OPEN,0952,OPEN,,,,,,OPEN,5,1,1,52,09,2,,1,1,,,1,,,1,,,6,Grocery,6000 W VERNOR HWY,DETROIT,48209,(313) 554-2140,,,,,,6000 W VERNOR HWY DETROIT 48209,42.3168714,-83.1064939,,,14,,,,,
FRF094473,44906,FAMILY FOODS SUPER STORE LLC,,,06-1-01-009,OPEN,164026,OPEN,0609,OPEN,,,,,,OPEN,6,1,1,09,06,1,,1,1,,,,,1,,,,5,Grocery,8665 ROSA PARKS BLVD,DETROIT,48206,(313) 584-9632,,,,,,8665 ROSA PARKS BLVD DETROIT 48206,42.3720798,-83.0980985,,,22,,,Yes,,
FRF113274,82984,GIGANTE PRINCE VALLEY INC,FRF084206,OPEN,05-1-01-054,OPEN,167535,OPEN,1054,OPEN,,,,,,OPEN,5,1,1,54,10,2,,1,1,,,1,,,1,,,6,Grocery,5931 MICHIGAN AVE,DETROIT,48210,(313) 898-9717,,,,,,5931 MICHIGAN AVE DETROIT 48210,42.3309006,-83.1156708,Prince Valley Market,,22,,,,,
FRF091492,41944,GLORY FOODS,,,02-1-01-044,OPEN,148584,OPEN,0544,OPEN,,,,,,OPEN,2,1,1,44,05,1,,1,1,,,,,1,,,,3,Grocery,12230 E 8 MILE RD,DETROIT,48205,(313) 371-4480,,,,,,12230 E 8 MILE RD DETROIT 48205,42.4477403,-83.0010212,,,25,,,,,
FRF111479,79166,GRACE FOOD MARKET,,,02-1-01-041,OPEN,168664,OPEN,2441,OPEN,,,,,,OPEN,2,1,1,41,24,0,,1,1,,,,,,,,,4,Grocery,12055 MORANG,DETROIT,48224,(313) 372-5434,,,,,,12055 MORANG DETROIT 48224,42.4266536,-82.9519776,Morang Food Center,,10,,,,,
FRF087006,23649,GRAND PRICE FOOD CENTER,,,,,141163,OPEN,271,OPEN,,,,,,OPEN,,,,1,27,1,,1,1,,,,,,1,,,7,Grocery,12955 GRAND RIVER,DETROIT,48227,,,,,,,12955 GRAND RIVER DETROIT 48227,42.3815836,-83.1716258,,,15,,,,,
FRF011829,5674,HONEY BEE MARKET LA COLMENA LTD,FRF011829,OPEN,05-1-01-031,OPEN,211142,OPEN,1631,OPEN,,,,,,OPEN,5,1,1,31,16,1,,1,1,,1,,,,1,,,6,Grocery,2443 BAGLEY AVE,DETROIT,48216,(313) 237-0295,,,,,,2443 BAGLEY AVE DETROIT 48216,42.3254282,-83.0765317,,,12,,,,,
FRF011221,5375,IMPERIAL FRESH - KROWN,,,01-1-01-067,OPEN,143906,OPEN,1267,OPEN,,,,,,OPEN,1,1,1,67,12,1,,1,1,,,,,,1,,,3,Grocery,5800 CANIFF,DETROIT,48212,,,,,,,5800 CANIFF DETROIT 48212,42.405247,-83.0430039,KROWN SUPERMARKET,,27,,,,,
FRF089734,37986,LA FIESTA SUPERMARKET CARNICERIA,,,05-1-01-053,OPEN,203481,OPEN,0953,OPEN,,,,,,OPEN,5,1,1,53,09,0,,1,1,,,,,,,,,6,Grocery,7403 W VERNOR HWY,DETROIT,48209,(313) 842-7755,,,,,,7403 W VERNOR HWY DETROIT 48209,42.3133799,-83.1219098,,,5,,,,,
FRF049572,5922,LIBERTY FOOD CENTER INC,,,10-1-01-021,OPEN,141021,OPEN,2121,OPEN,,,,,,OPEN,10,1,1,21,21,1,,1,1,,,,,,1,,,2,Grocery,10620 W MCNICHOLS,DETROIT,48221,(313) 862-9100,,,,,,10620 W MCNICHOLS DETROIT 48221,42.4171469,-83.1677747,,,17,,,,,
FRE067646,4808,MAZEN FOODS,,,02-1-01-025,OPEN,168658,OPEN,05250,OPEN,,,,,,OPEN,2,1,1,25,05,1,,1,1,,,1,,,,,,4,Grocery,12740 GRATIOT,DETROIT,48205,(313) 839-6400,,,,,,12740 GRATIOT DETROIT 48205,42.4196328,-82.9873346,,,20,,,,,
FRE117482,90114,MEIJER,,,,,171963,NEW,191,OPEN,,,,,,OPEN,,,,1,19,0,,,1,,,,,,,,,1,Grocery,21431 Grand River,DETROIT,48219,,,,,,,21431 Grand River DETROIT 48219,42.412043,-83.2528215,,,200,,,,,
FRE113229,82181,MEIJER,,,08-1-02-012,NEW,119714,OPEN,0312,OPEN,,,,,,OPEN,8,1,2,12,03,1,1,,1,,,,,,1,,,2,Grocery,1301 W 8 MI RD,DETROIT,48203,,,,,,,1301 W 8 MI RD DETROIT 48203,42.4442852,-83.1192238,,,215,,,,,
FRE210834,,MEIJER RIVERTOWN MARKET,,,,,,,,,,,OPEN,,,OPEN,,,,,,0,,,1,,,,,,,,,5,Grocery,1475 E. Jefferson,DETROIT,48207,,,,,,,1475 E. Jefferson DETROIT 48207,42.3344042,-83.0326004,,,42,,,,,
FRF087700,27568,NEW MERCHANT FOOD CENTER,,,01-1-01-068,OPEN,161879,OPEN,3468,OPEN,,,,,,OPEN,1,1,1,68,34,1,,1,1,,,,,,1,,,3,Grocery,2819 E 7 MILE RD,DETROIT,48234,(313) 368-2270,,,,,,2819 E 7 MILE RD DETROIT 48234,42.4332356,-83.0751756,MANDY FOOD MART INC,,17,,,,,
FRF085591,6495,NEW PICK & SAVE MARKET,,,01-1-01-069,OPEN,168464,OPEN,3469,OPEN,,,,,,OPEN,1,1,1,69,34,1,,1,1,,,1,,,,,,3,Grocery,7404 7 MILE RD,DETROIT,48234,(313) 366-8300,,,,,,7404 7 MILE RD DETROIT 48234,42.4336795,-83.031992,Pick N Save Market,,19,,,,,
FRF087766,,PAPAYA FRUIT MARKET,,,,,,,286,OPEN,,,,,,OPEN,,,,6,28,0,,1,1,,,,,,,,,7,Grocery,16322 W Warren,DETROIT,48228,(313)-584-8141,,,,,,16322 W Warren  48228,42.3438142,-83.2053286,,1989,5,,,,,
FRF115910,87144,ROYAL FRESH MARKET,,,08-1-01-016,OPEN,141130,OPEN,2316,OPEN,,,,,,OPEN,8,1,1,16,23,1,,1,1,,1,,,,1,,1,1,Grocery,18551 W GRAND RIVER,DETROIT,48223,,,,,,,18551 W GRAND RIVER DETROIT 48223,42.4025645,-83.224213,Metro Foodland,,17,,,,,
FRF112025,80321,SAV-MART SUPERMARKET,FRF098421,OPEN,03-1-01-027,OPEN,161839,OPEN,0727,OPEN,,,,,,OPEN,3,1,1,27,07,1,,1,1,,,,,,1,,,5,Grocery,7011 GRATIOT AVE,DETROIT,48207,(313) 921-0164,,,,,,7011 GRATIOT AVE DETROIT 48207,42.3727076,-83.0198368,SAVE-MART SUPERMARKET INC,,11,,,,,
FRF116819,89090,SAVE A LOT,,,02-1-02-006,OPEN,205346,OPEN,0506,OPEN,,CLOSED COVID,OPEN,,,OPEN,2,1,2,06,05,0,,1,1,,,,,,,,,4,Grocery,15001 HOUSTON-WHITTIER,DETROIT,48205,(313) 839-0600,,,,,,15001 HOUSTON-WHITTIER DETROIT 48205,42.4210418,-82.9670787,,,18,Yes,,,,
F​R​F​1​1​0​3​4​9,,SAVE A LOT,,,03-1-02-005,OPEN,203425,OPEN,1505,OPEN,,CLOSED COVID,OPEN,,,OPEN,3,1,2,05,15,0,,1,1,,,,,,,,,4,Grocery,4703 CONNER ST,DETROIT,48215,(313) 822-3080,,,,,,4703 CONNER ST DETROIT 48215,42.3874098,-82.9712057,Conner Foods Inc,,18,,,,,
F​R​F​0​7​3​8​9​2,,SEVEN MILE FOODS,,,01-1-01-070,OPEN,143901,OPEN,3470,OPEN,,,,,,OPEN,1,1,1,70,34,2,,1,1,,,,,1,1,,,3,Grocery,8139 E SEVEN MILE,DETROIT,48234,,,,,,,8139 E SEVEN MILE DETROIT 48234,42.4343574,-83.0214967,7 MILE FOODS INC,,14,,,,,
F​R​F​0​5​4​9​8​5,,SEVEN STAR FOOD CENTER INC,,,02-1-01-043,OPEN,168465,OPEN,0543,OPEN,,,,,,OPEN,2,1,1,43,05,1,,1,1,,,,,,1,,,4,Grocery,11500 E MCNICHOLS,DETROIT,48205,(313) 372-8430,,,,,,11500 E MCNICHOLS DETROIT 48205,42.4196579,-83.0052908,,,15,,,,,
FRF074457,,SUPERLAND MARKET,,,09-1-01-011,OPEN,171913,OPEN,2711,OPEN,,CLOSED COVID,OPEN,,,OPEN,9,1,1,11,27,0,,1,1,,,,,,,,,1,Grocery,17021 SCHOOLCRAFT,DETROIT,48227,(313) 835-2132,,,,,,17021 SCHOOLCRAFT DETROIT 48227,42.38645,-83.2142159,,,4,,,,,
FRF095120,,U.S. QUALITY FOOD CENTER,,,07-1-01-066,OPEN,,OPEN,2866,OPEN,,,,,,OPEN,7,1,1,66,28,0,,1,1,,,,,,,,,7,Grocery,15690 Joy Rd,DETROIT,48228,(313) 837-9777,,,,,,15690 Joy Rd  48228,42.3592055,-83.1990839,,1960,11,,,,,
FRF085741,,VALUE SAVE FOOD CENTER,,,09-1-01-010,OPEN,,OPEN,3810,OPEN,,,,,,OPEN,9,1,1,10,38,1,,1,1,,,,,,1,,,2,Grocery,14470 LIVERNOIS,DETROIT,48238,(313) 861-8797,,,,,,14470 LIVERNOIS DETROIT 48238,42.3952347,-83.1397359,Valu Save Food Center,,19,,,,,
FRF092405,,VERNOR FOOD CENTER,,,05-1-01-055,OPEN,203507,OPEN,0955,OPEN,,,,,,OPEN,5,1,1,55,09,0,,1,1,,,,,,,,,6,Grocery,8801 W VERNOR,DETROIT,48209,(313) 849-5944,,,,,,8801 W VERNOR DETROIT 48209,42.3086232,-83.1334968,,,8,,,,,
FRE112387,,WHOLE FOODS MARKET,,,04-1-02-004,NEW,,OPEN,0104,OPEN,,,,,,OPEN,4,1,2,04,01,1,1,,1,,,,,,1,,,6,Grocery,115 MACK AVE,DETROIT,48201,(313) 576-5300,,,,,,115 MACK AVE DETROIT 48201,42.3485364,-83.0565724,,,21,,,,,
,,DETROIT PEOPLE'S FOOD CO-OP,,,,,,,,,,,,,,OPEN,,,,,,,,1,1,,,,,,,,,,Grocery,8324 Woodward Ave,DETROIT,48202,(313) 338-3111,,,,,,,42.3771277,-83.077315,,,,,,,,
