id,name,address,latitude,longitude,source,qualifies,store_type,adequacy_tier,price_concern,quality_concern,nems_availability,nems_price,nems_quality,nems_total,nems_survey_year,nems_status,dfm_community_score,snap,wic,green_grocer,ggp18,ggp21,sq_ft_thousands,notes,reviewer_notes,last_verified
dfm-FRF091798,FARMER JOHN FOOD CENTER,"9731 HARPER, DETROIT, MI, 48213",42.393513,-83.006572,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,yes,16.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF110107,FOOD FARM SUPER MARKET,"11550 DEXTER, DETROIT, MI, 48206",42.378483,-83.123268,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,yes,unknown,yes,24.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF011105,FOOD GIANT SUPERMARKET,"14040 GREENFIELD, DETROIT, MI, 48227",42.389107,-83.197194,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,yes,25.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF088264,FOOD PRIDE SUPERMARKET,"500 E WARREN, DETROIT, MI, 48201",42.358684,-83.05795,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,yes,unknown,yes,22.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF094808,GARDEN FRESH MARKETPLACE,"6680 MICHIGAN AVE, DETROIT, MI, 48210",42.331458,-83.126171,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,yes,unknown,yes,18.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0. AKA: La Guadalupana El Mercado.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF093375,GLORY SUPERMARKET,"8000 W OUTER DR, DETROIT, MI, 48235",42.420362,-83.217785,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,unknown,yes,43.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF112007,HARBORTOWN FRESH MARKET LLC,"3472 E JEFFERSON AVE, DETROIT, MI, 48207",42.342529,-83.01082,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,yes,15.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF085623,INDIAN VILLAGE MARKET LLC,"8415 E JEFFERSON AVE, DETROIT, MI, 48214",42.354477,-82.991233,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,yes,15.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF117540,LANCES HOMETOWN MARKET,"8656 WYOMING, DETROIT, MI, 48204",42.358683,-83.157111,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,yes,unknown,yes,23.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0. AKA: HOMETOWN MARKET/Modern Foods.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF055965,OLD REDFORD FOOD CENTER,"21673 GRAND RIVER, DETROIT, MI, 48219",42.415748,-83.256815,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,unknown,yes,yes,yes,12.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0. AKA: New Redford Food Center.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF011480,SATURN SUPER FOODS,"20221 JOY RD, DETROIT, MI, 48228",42.357168,-83.238919,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,yes,17.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF100252,SAVE-A-LOT,"3681 GRATIOT AVE, DETROIT, MI, 48207",42.363738,-83.025664,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,yes,12.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF024521,SAVON FOODS,"15025 W 7 MILE RD, DETROIT, MI, 48235",42.430347,-83.194213,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,yes,9.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF086776,SAVON FOODS SUPERSTORE,"18000 LIVERNOIS AVE, DETROIT, MI, 48221",42.423006,-83.140703,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,yes,yes,20.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF092094,SEAWAY MARKETPLACE,"18330 W Chicago St, DETROIT, MI, 48228",42.365693,-83.219632,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,unknown,unknown,yes,24.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF088492,APOLLO MARKET,"20250 W 7 MILE RD, DETROIT, MI, 48219",42.430455,-83.240686,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,unknown,yes,yes,unknown,37.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF112632,KING COLE FOODS,"40 CLAIRMOUNT ST, DETROIT, MI, 48202",42.38286,-83.082519,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,yes,unknown,11.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0. AKA: K COLE INC. Bought by Garden Fresh Marketplace owners in 2022,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF099583,MIKES FRESH MARKET,"19195 LIVERNOIS, DETROIT, MI, 48221",42.433045,-83.142641,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,3.0,yes,yes,yes,yes,unknown,33.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 3.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF085898,PUBLIC FOOD INC,"16226 E WARREN, DETROIT, MI, 48224",42.401879,-82.940244,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,unknown,yes,unknown,11.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF085100,ALDI,"15415 GRATIOT AVE, DETROIT, MI, 48205",42.448797,-82.970401,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,unknown,unknown,unknown,unknown,13.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF093458,ALDI,"14708 MACK AVE, DETROIT, MI, 48215",42.386178,-82.948733,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,unknown,unknown,unknown,unknown,12.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF024031,AMERICANA FOOD STORE INC,"15041 PLYMOUTH, DETROIT, MI, 48227",42.37242,-83.19269,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,unknown,unknown,12.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF011551,ATLAS MARKET,"2645 W DAVISON, DETROIT, MI, 48238",42.392097,-83.122993,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,16.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF101282,AZTECA SUPERMERCADO,"2411 CENTRAL, DETROIT, MI, 48209",42.31361,-83.125498,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,22.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF118703,BI-RITE SUPERMARKET,"13230 LIVERNOIS AVE, DETROIT, MI, 48238",42.385568,-83.139139,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,unknown,unknown,unknown,unknown,12.0,"Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0. Former Livernois Foods was raided for selling stolen goods, bought by Bi-Rite in River Rouge. Reopened July 2021",Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF011476,E & L SUPERMERCADO,"6000 W VERNOR HWY, DETROIT, MI, 48209",42.316871,-83.106494,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,yes,unknown,unknown,14.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF094473,FAMILY FOODS SUPER STORE LLC,"8665 ROSA PARKS BLVD, DETROIT, MI, 48206",42.37208,-83.098099,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,unknown,unknown,22.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF113274,GIGANTE PRINCE VALLEY INC,"5931 MICHIGAN AVE, DETROIT, MI, 48210",42.330901,-83.115671,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,2.0,yes,yes,yes,unknown,unknown,22.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 2.0. AKA: Prince Valley Market.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF091492,GLORY FOODS,"12230 E 8 MILE RD, DETROIT, MI, 48205",42.44774,-83.001021,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,unknown,unknown,25.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF111479,GRACE FOOD MARKET,"12055 MORANG, DETROIT, MI, 48224",42.426654,-82.951978,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,10.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0. AKA: Morang Food Center.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF087006,GRAND PRICE FOOD CENTER,"12955 GRAND RIVER, DETROIT, MI, 48227",42.381584,-83.171626,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,15.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF011829,HONEY BEE MARKET LA COLMENA LTD,"2443 BAGLEY AVE, DETROIT, MI, 48216",42.325428,-83.076532,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,12.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF011221,IMPERIAL FRESH - KROWN,"5800 CANIFF, DETROIT, MI, 48212",42.405247,-83.043004,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,27.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0. AKA: KROWN SUPERMARKET.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF089734,LA FIESTA SUPERMARKET CARNICERIA,"7403 W VERNOR HWY, DETROIT, MI, 48209",42.31338,-83.12191,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,yes,unknown,unknown,unknown,5.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRF049572,LIBERTY FOOD CENTER INC,"10620 W MCNICHOLS, DETROIT, MI, 48221",42.417147,-83.167775,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,yes,unknown,unknown,17.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRE067646,MAZEN FOODS,"12740 GRATIOT, DETROIT, MI, 48205",42.419633,-82.987335,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,yes,unknown,unknown,unknown,20.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRE117482,MEIJER,"21431 Grand River, DETROIT, MI, 48219",42.412043,-83.252821,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,0.0,yes,unknown,unknown,unknown,unknown,200.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 0.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
dfm-FRE113229,MEIJER,"1301 W 8 MI RD, DETROIT, MI, 48203",42.444285,-83.119224,Detroit Food Map Initiative (DetroitData),True,full_line_grocery,assortment_only,unknown,unknown,,,,,,pending,1.0,yes,unknown,yes,unknown,unknown,215.0,Detroit Food Map full-line grocery (ground-truthed). NEMS availability/price/quality placeholders pending Detroit Food Map / Great Grocer partnership data. Open DFM CSV confirms full-line status only. DFM community score: 1.0.,Primary qualifying set from DFM full-line list. Assortment confirmed by DFM methodology; quality/price not scored in open CSV.,2026-09-17
